"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
7.598954400E-2;2.200722694E-3;7.371902466E-4;2.545714378E-3
8.546251300E-2;7.059967518E-1;-3.183364868E-1;-7.929375172E-1
9.493542900E-2;7.112144828E-1;-2.384805679E-1;-2.728236914E-1
1.044083460E-1;8.510267735E-1;-9.406948090E-2;-1.703345776E-2
1.138812630E-1;9.217751622E-1;-2.813243866E-2;-2.070819139E-1
1.233541790E-1;1.111846685E0;-2.033863068E-1;-6.410923004E-1
1.328271480E-1;8.598999977E-1;-1.221828461E-1;-1.023375034E0
1.423000650E-1;2.490217388E-1;7.620048523E-2;-7.949061394E-1
1.517729810E-1;-2.915787697E-1;8.295726776E-2;-4.785270691E-1
1.612458980E-1;-6.875869036E-1;-3.536510468E-2;-4.855537415E-2
1.707188150E-1;-1.151245356E0;-9.176254272E-2;4.268584251E-1
1.801917840E-1;-1.330743313E0;1.243944168E-1;5.252007246E-1
1.896647000E-1;-1.011385202E0;1.928939819E-1;4.042521715E-1
1.991376170E-1;-3.089026213E-1;4.722690582E-2;6.111311913E-2
2.086105340E-1;4.901757240E-1;-2.454376221E-2;-2.827143669E-2
2.180834500E-1;9.675636292E-1;-3.621959686E-2;-5.582149029E-1
2.275564190E-1;1.189331532E0;-4.523944855E-2;-9.614641666E-1
2.370293360E-1;1.000336885E0;6.195831299E-2;-8.785622120E-1
2.465022520E-1;5.708700418E-2;1.228189468E-1;-3.485128880E-1
2.559751690E-1;-6.195921302E-1;2.353572845E-2;-2.137613297E-2
2.654480860E-1;-8.720346689E-1;-1.308298111E-1;4.465488195E-1
2.749210540E-1;-1.097944021E0;-1.550598145E-1;5.600681305E-1
2.843939710E-1;-9.384372234E-1;-1.278142929E-1;4.836348295E-1
2.938668880E-1;-2.856287956E-1;-2.801895142E-2;5.584549904E-2
3.033398040E-1;2.168546319E-1;1.025400162E-1;-2.868721485E-1
3.128127730E-1;3.941053152E-1;2.116203308E-3;-6.565916538E-1
3.222856900E-1;3.719125986E-1;-1.527347565E-1;-6.231880188E-1
3.317586060E-1;8.134150505E-2;-4.580879211E-2;-2.466146946E-1
3.412315230E-1;-2.769209146E-1;7.381343842E-2;2.683373690E-1
3.507044400E-1;-5.801581144E-1;4.590129852E-2;4.260717630E-1
3.601773560E-1;-5.113077164E-1;-6.913566589E-2;4.471256733E-1
3.696503250E-1;-4.354369640E-1;2.557754517E-3;1.997420788E-1
3.791232420E-1;-2.421424389E-1;7.193183899E-2;-2.528605461E-1
3.885961590E-1;-1.843249798E-2;6.928443909E-2;-3.959643841E-1
3.980690750E-1;4.884719849E-2;-8.477687836E-2;-2.139263153E-1
4.075419920E-1;-1.580888033E-1;-2.769966125E-1;-3.887367249E-2
4.170149610E-1;-1.968477964E-1;-3.360137939E-1;-5.644440651E-2
4.264878770E-1;-2.884691954E-1;-1.673574448E-1;1.247398853E-1
4.359607940E-1;-4.418302774E-1;-1.707839966E-2;1.027781963E-1
4.454337110E-1;-4.611234665E-1;-3.876972198E-2;2.725952864E-1
4.549066270E-1;-5.112885237E-1;-6.709861755E-2;3.309003115E-1
4.643795960E-1;-7.585207224E-1;-2.476692200E-2;3.648070097E-1
4.738525130E-1;-8.083254099E-1;-5.602741241E-2;2.640856504E-1
4.833254290E-1;-8.123487234E-1;7.265949249E-2;3.972239494E-1
4.927983460E-1;-8.382307291E-1;1.844053268E-1;4.076094627E-1
5.022712630E-1;-6.926735640E-1;1.485347748E-1;4.480675459E-1
5.117441790E-1;-3.387212753E-1;-3.179359436E-2;9.875822067E-1
5.212171480E-1;-3.042457104E-1;-2.271366119E-1;8.222775459E-1
5.306900650E-1;1.631548405E-1;-3.433704376E-1;2.512925863E-1
5.401629810E-1;6.240758896E-1;4.986572266E-2;-1.880741119E-1
5.496358980E-1;3.945003748E-1;4.797639847E-1;-4.716653824E-1
5.591088670E-1;1.253088713E-1;2.953386307E-1;-4.119970798E-1
5.685817840E-1;-1.423640251E-1;-1.324396133E-1;-2.157664299E-1
5.780547000E-1;-3.046290874E-1;-3.384532928E-1;-7.526612282E-2
5.875276170E-1;-2.793757915E-1;-2.234344482E-1;1.158744097E-1
5.970005340E-1;-5.872774124E-2;-1.010828018E-1;3.491711617E-2
6.064735020E-1;1.657154560E-1;-1.615619659E-2;7.723319530E-2
6.159464190E-1;2.970407009E-1;-5.022811890E-2;3.666275740E-1
6.254193360E-1;4.128897190E-2;-1.119079590E-1;5.160920620E-1
